Architecture,Metric,Rank,Median,CI - lower,CI - upper
CaiT,Acc,5.0,98.56,98.37,98.71
CaiT,BA,5.0,98.72,98.49,98.9
CaiT,F1,5.0,98.71,98.5,98.87
CaiT,F2,5.0,98.72,98.49,98.88
CaiT,MCC,5.0,97.65,97.36,97.88
CaiT,Sens,5.0,98.72999999999999,98.48,98.9
CaiT,Spec,5.0,99.17,99.08,99.25
DenseNet-121,Acc,3.2,98.89,98.76,99.0
DenseNet-121,BA,2.98,99.1,98.99,99.2
DenseNet-121,F1,2.82,99.11,99.0,99.2
DenseNet-121,F2,3.18,99.08,98.96000000000001,99.19
DenseNet-121,MCC,3.05,98.27,98.07000000000001,98.44000000000001
DenseNet-121,Sens,2.92,99.11999999999999,99.0,99.21
DenseNet-121,Spec,3.3,99.36,99.29,99.42999999999999
MobileNet-v3,Acc,3.63,98.86,98.75,98.95
MobileNet-v3,BA,3.62,99.07000000000001,98.97,99.15
MobileNet-v3,F1,3.58,99.07000000000001,98.96000000000001,99.15
MobileNet-v3,F2,3.5,99.06,98.97,99.15
MobileNet-v3,MCC,3.72,98.19,98.00999999999999,98.33
MobileNet-v3,Sens,3.54,99.08,98.98,99.16
MobileNet-v3,Spec,3.56,99.35000000000001,99.26,99.42
ResNet-50,Acc,1.4,99.02,98.95,99.09
ResNet-50,BA,1.38,99.19,99.13,99.25
ResNet-50,F1,1.92,99.14,99.07000000000001,99.21
ResNet-50,F2,1.84,99.15,99.09,99.22
ResNet-50,MCC,1.53,98.42,98.31,98.53
ResNet-50,Sens,1.75,99.17,99.1,99.24
ResNet-50,Spec,1.51,99.42999999999999,99.39,99.47
ResNet-50r,Acc,1.77,98.99,98.9,99.08
ResNet-50r,BA,2.02,99.16,99.05000000000001,99.25
ResNet-50r,F1,1.68,99.16,99.07000000000001,99.25
ResNet-50r,F2,1.47,99.18,99.09,99.26
ResNet-50r,MCC,1.71,98.41,98.25,98.57000000000001
ResNet-50r,Sens,1.8,99.18,99.07000000000001,99.26
ResNet-50r,Spec,1.63,99.42999999999999,99.38,99.48
