Experiment,metric,min,max,mean,std
Exp-01,Acc,97.88,98.97,98.47,0.41
Exp-01,BA,98.12,99.15,98.61,0.4
Exp-01,F1,98.3,99.2,98.65,0.36
Exp-01,F2,98.18,99.16,98.62,0.4
Exp-01,MCC,96.64,98.35,97.52,0.65
Exp-01,Sens,98.1,99.2,98.63,0.41
Exp-01,Spec,98.77,99.41,99.12,0.23
Exp-02,Acc,97.88,99.14,98.64,0.44
Exp-02,BA,98.26,99.33,98.89,0.36
Exp-02,F1,97.9,99.3,98.83,0.43
Exp-02,F2,98.16,99.3,98.86,0.39
Exp-02,MCC,96.62,98.63,97.84,0.69
Exp-02,Sens,98.3,99.3,98.88,0.36
Exp-02,Spec,98.8,99.53,99.25,0.23
Exp-03,Acc,97.02,98.85,98.44,0.52
Exp-03,BA,95.53,99.06,98.52,1.06
Exp-03,F1,96.5,99.1,98.62,0.76
Exp-03,F2,95.9,99.1,98.56,0.95
Exp-03,MCC,95.24,98.17,97.52,0.83
Exp-03,Sens,95.5,99.3,98.56,1.09
Exp-03,Spec,98.29,99.34,99.12,0.3
Exp-04,Acc,96.5,99.2,98.64,0.76
Exp-04,BA,97.28,99.36,98.81,0.63
Exp-04,F1,96.3,99.4,98.71,0.9
Exp-04,F2,96.88,99.4,98.77,0.74
Exp-04,MCC,94.53,98.72,97.66,1.23
Exp-04,Sens,97.3,99.4,98.81,0.63
Exp-04,Spec,98.3,99.55,99.19,0.38
Exp-05,Acc,98.74,99.37,99.08,0.17
Exp-05,BA,98.98,99.48,99.23,0.15
Exp-05,F1,98.7,99.5,99.22,0.21
Exp-05,F2,98.88,99.5,99.22,0.17
Exp-05,MCC,97.99,98.99,98.51,0.28
Exp-05,Sens,99.0,99.5,99.23,0.15
Exp-05,Spec,99.36,99.64,99.47,0.09
Exp-06,Acc,98.51,99.37,98.97,0.3
Exp-06,BA,98.77,99.49,99.16,0.25
Exp-06,F1,98.8,99.5,99.14,0.26
Exp-06,F2,98.78,99.5,99.15,0.26
Exp-06,MCC,97.62,98.99,98.35,0.48
Exp-06,Sens,98.8,99.5,99.16,0.25
Exp-06,Spec,99.13,99.61,99.38,0.16
Exp-07,Acc,97.48,99.37,98.67,0.55
Exp-07,BA,97.9,99.49,98.96,0.5
Exp-07,F1,97.9,99.5,98.97,0.46
Exp-07,F2,97.9,99.5,98.86,0.53
Exp-07,MCC,96.02,98.99,98.04,0.83
Exp-07,Sens,97.9,99.5,98.97,0.51
Exp-07,Spec,98.55,99.64,99.25,0.32
Exp-08,Acc,98.05,99.43,98.86,0.42
Exp-08,BA,98.37,99.54,99.05,0.36
Exp-08,F1,98.3,99.5,99.08,0.36
Exp-08,F2,98.35,99.53,99.09,0.37
Exp-08,MCC,96.92,99.08,98.17,0.65
Exp-08,Sens,98.4,99.5,99.09,0.35
Exp-08,Spec,98.89,99.68,99.34,0.24
Exp-09,Acc,98.51,99.2,98.89,0.22
Exp-09,BA,98.71,99.35,99.08,0.19
Exp-09,F1,98.8,99.3,99.06,0.16
Exp-09,F2,98.7,99.4,99.1,0.2
Exp-09,MCC,97.62,98.72,98.22,0.34
Exp-09,Sens,98.7,99.4,99.1,0.21
Exp-09,Spec,99.14,99.56,99.37,0.13
Exp-10,Acc,97.53,99.37,98.87,0.54
Exp-10,BA,97.88,99.5,99.07,0.48
Exp-10,F1,97.9,99.5,99.03,0.46
Exp-10,F2,97.9,99.5,99.07,0.47
Exp-10,MCC,96.11,98.99,98.2,0.85
Exp-10,Sens,97.9,99.5,99.09,0.48
Exp-10,Spec,98.56,99.65,99.36,0.34
Exp-11,Acc,98.17,99.2,98.83,0.32
Exp-11,BA,98.35,99.36,99.03,0.3
Exp-11,F1,98.6,99.3,99.04,0.21
Exp-11,F2,98.7,99.36,99.04,0.25
Exp-11,MCC,97.08,98.72,98.14,0.5
Exp-11,Sens,98.7,99.4,99.08,0.23
Exp-11,Spec,98.39,99.57,99.3,0.34
Exp-12,Acc,98.45,99.08,98.84,0.18
Exp-12,BA,98.72,99.23,99.06,0.15
Exp-12,F1,98.9,99.9,99.12,0.29
Exp-12,F2,98.7,99.3,99.04,0.17
Exp-12,MCC,97.53,98.53,98.15,0.28
Exp-12,Sens,98.7,99.3,99.05,0.16
Exp-12,Spec,99.1,99.5,99.35,0.12
Exp-13,Acc,98.39,99.31,98.94,0.33
Exp-13,BA,98.67,99.44,99.13,0.29
Exp-13,F1,98.5,99.4,99.11,0.31
Exp-13,F2,98.61,99.4,99.12,0.29
Exp-13,MCC,97.44,98.9,98.3,0.55
Exp-13,Sens,98.7,99.4,99.13,0.28
Exp-13,Spec,99.13,99.61,99.39,0.19
Exp-14,Acc,98.68,99.25,99.04,0.18
Exp-14,BA,98.76,99.4,99.19,0.2
Exp-14,F1,98.7,99.4,99.11,0.22
Exp-14,F2,98.6,99.4,99.12,0.25
Exp-14,MCC,97.9,98.81,98.48,0.3
Exp-14,Sens,98.6,99.4,99.12,0.25
Exp-14,Spec,99.27,99.59,99.47,0.1
Exp-15,Acc,98.85,99.43,99.08,0.16
Exp-15,BA,99.04,99.54,99.26,0.14
Exp-15,F1,99.1,99.5,99.23,0.13
Exp-15,F2,99.02,99.5,99.22,0.14
Exp-15,MCC,98.18,99.08,98.53,0.26
Exp-15,Sens,99.0,99.5,99.23,0.15
Exp-15,Spec,99.3,99.67,99.46,0.11
Exp-16,Acc,98.6,99.31,99.01,0.19
Exp-16,BA,98.83,99.44,99.18,0.17
Exp-16,F1,98.8,99.4,99.13,0.17
Exp-16,F2,98.8,99.4,99.16,0.16
Exp-16,MCC,97.73,98.9,98.38,0.31
Exp-16,Sens,98.8,99.6,99.2,0.21
Exp-16,Spec,99.21,99.61,99.42,0.11
Exp-17,Acc,98.34,99.48,98.97,0.34
Exp-17,BA,98.26,99.58,99.13,0.37
Exp-17,F1,98.4,99.6,99.11,0.35
Exp-17,F2,98.4,99.6,99.15,0.34
Exp-17,MCC,97.34,99.17,98.36,0.55
Exp-17,Sens,98.3,99.6,99.15,0.37
Exp-17,Spec,99.06,99.7,99.43,0.19
Exp-18,Acc,98.91,99.48,99.16,0.19
Exp-18,BA,99.15,99.58,99.32,0.15
Exp-18,F1,99.1,99.6,99.32,0.15
Exp-18,F2,99.14,99.6,99.32,0.15
Exp-18,MCC,98.26,99.17,98.66,0.31
Exp-18,Sens,99.1,99.6,99.32,0.15
Exp-18,Spec,99.39,99.7,99.52,0.11
Exp-19,Acc,98.28,99.14,98.71,0.29
Exp-19,BA,98.12,99.29,98.9,0.35
Exp-19,F1,98.4,99.3,98.9,0.27
Exp-19,F2,98.2,99.3,98.92,0.34
Exp-19,MCC,97.27,98.63,97.94,0.46
Exp-19,Sens,98.1,99.3,98.9,0.35
Exp-19,Spec,99.04,99.5,99.27,0.17
Exp-20,Acc,98.85,99.54,99.13,0.23
Exp-20,BA,98.97,99.63,99.28,0.2
Exp-20,F1,99.0,99.6,99.3,0.21
Exp-20,F2,99.0,99.6,99.31,0.2
Exp-20,MCC,98.17,99.27,98.66,0.35
Exp-20,Sens,99.0,99.6,99.31,0.2
Exp-20,Spec,99.36,99.74,99.51,0.13
